,id,lat,long
0,1,40.50087622728695,-74.24992754986717
1,1,40.49871712913556,-74.24915648792326
2,1,40.49944014889296,-74.24934702119957
3,1,40.50280531364854,-74.25185153133741
4,1,40.50228915504668,-74.2513327304861
5,1,40.49804482548253,-74.24893307025533
6,1,40.49823047659968,-74.24797739438884
7,1,40.49841884002616,-74.24701764165971
8,1,40.498582371886805,-74.24616510562565
9,1,40.498767712888444,-74.24526409179525
10,2,40.50819902808055,-74.22765169907424
11,2,40.50839858954864,-74.22570400022862
12,2,40.50850003976212,-74.22471375243826
13,3,40.50510100502328,-74.22124840590146
14,2,40.50861356889667,-74.22374448177749
15,2,40.508658610945375,-74.22321582479996
16,2,40.50894336303878,-74.22158272140987
17,3,40.503442943541735,-74.21926443509075
18,3,40.50352477607354,-74.21882884593349
19,3,40.50376842641263,-74.21859752200406
20,2,40.50966292112851,-74.21806897354682
21,2,40.51535895118096,-74.20476205336593
22,2,40.51662342832809,-74.20278590571742
23,2,40.51874827785438,-74.19898766286592
24,2,40.51882463761492,-74.19863195101257
25,2,40.5191260308921,-74.19713591063207
26,2,40.519423831214425,-74.19619814023916
27,2,40.519998791664904,-74.1951900846669
28,4,40.557563596282684,-74.19697470899112
29,2,40.521741493622734,-74.192429667502
30,2,40.522571645952866,-74.19000393967322
31,2,40.522853473071564,-74.18922554312216
32,2,40.52312761638787,-74.18846834697715
33,2,40.523431082778934,-74.1876287631849
34,2,40.52357852329989,-74.18721712386346
35,2,40.52399641568228,-74.18609816314579
36,2,40.52430737440001,-74.18523167199825
37,2,40.5245979184303,-74.18442199802342
38,2,40.52521737722023,-74.1826979269975
39,2,40.52555656630056,-74.18176422537908
40,2,40.52584137297567,-74.18098074016908
41,2,40.52608906328352,-74.18031091380936
42,2,40.5267102214146,-74.1784091462971
43,2,40.526762467001056,-74.17573202697977
44,2,40.526735611208764,-74.17475999493179
45,5,40.60279629778038,-74.16694849149822
46,6,40.59045548023953,-74.1644874429756
47,6,40.591000739885956,-74.1637737184723
48,5,40.6041888187152,-74.1663610843421
49,5,40.60565471969138,-74.1657739400523
50,6,40.59198748587667,-74.16241228534092
51,7,40.591808324024186,-74.16013627378767
52,6,40.59267887361803,-74.16167715579765
53,7,40.59223984956044,-74.16089468149788
54,8,40.629973358649266,-74.18676019465556
55,8,40.6274895587736,-74.18235699496722
56,8,40.62845895151068,-74.18404728067222
57,5,40.606762516920725,-74.16582357416986
58,5,40.60690094198294,-74.16570103482675
59,5,40.60762395852894,-74.16550356742596
60,5,40.60834941486029,-74.16543644820958
61,5,40.6112339578036,-74.16467556955246
62,5,40.61392938517649,-74.16408311337636
63,5,40.614632361706704,-74.16392419906381
64,5,40.61531265031259,-74.16376773334964
65,5,40.61599364510515,-74.16360273172515
66,9,40.564444284977355,-74.12675265275138
67,9,40.5639746170227,-74.1259802435955
68,9,40.56352664544226,-74.12523528173439
69,9,40.56308440811939,-74.1245044049845
70,9,40.56264411785188,-74.12377578265739
71,10,40.56588879133578,-74.12514181938411
72,10,40.56682259563391,-74.12425898715854
73,10,40.56738253505103,-74.12368195674568
74,7,40.59090779288261,-74.15853043497033
75,7,40.59044695576859,-74.15770780964077
76,7,40.58999425663987,-74.15690992695676
77,7,40.58855602876949,-74.15435618260092
78,9,40.55954189277673,-74.11864043491042
79,7,40.58789201245211,-74.15318265393401
80,11,40.58846641702213,-74.15263083113717
81,11,40.59017906233954,-74.15096773477968
82,12,40.5894925030513,-74.14972777159286
83,12,40.58884235403561,-74.14869312264472
84,12,40.588571084657836,-74.14684720263921
85,12,40.58856291894852,-74.14583448059619
